University Name,Program Title,Program Link,Area of Study,Target Group,Focus
University of Applied Sciences Fresenius,International Health Economics & Pharmacoeconomics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-fresenius-international-health-economics-pharmacoeconomics-w21939/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w21939&hec-offset=1025,"['Pharmacy, Pharmacology', 'Health Economics']",Are you a graduate in Pharmaceutical or Health Economics or already working in the industry? The Master of Science in International Pharmacoeconomics and Health Economics offers you an ideal further qualification and opens up international career opportunities in the future-oriented industry of healthcare.,"Economic Theory, Principles of Health Economics, Economic Evaluation in Health Care, International Health Policy and Management, Global Pharmaceutical Development and Regulations, Statistics and Research Methods, Pharmacoeconomic Theory, International Pharmaceutical Benefits Programmes, Reimbursements and Pricing Mechanisms"
IU International University,International Healthcare Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/iu-international-university-international-healthcare-management-w67861/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w67861&hec-offset=1026,Health Management,,
European University Viadrina Frankfurt (Oder),International Human Rights and Humanitarian Law,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/european-university-viadrina-frankfurt-oder-international-human-rights-and-humanitarian-law-w26381/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w26381&hec-offset=1027,"['International Law', 'Jurisprudence, Legal']","The Master's programme is open to graduates with sufficient background in Law who seek to establish or develop a career in field of human rights or in related fields whether on the governmental or private level, both internationally, regionally or nationally, including non-governmental organisations (NGOs) and in the military, defence and policing sectors.","International Humanitarian Law, Human Rights"
Esslingen University of Applied Sciences,International Industrial Management (MBA),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/esslingen-university-of-applied-sciences-international-industrial-management-mba-w5464/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w5464&hec-offset=1028,"['Trade and Industry', 'Economic Sciences, Economics']","Prospective managers seeking an intercultural qualification characterised by the integration of science, economics and technology",
University of Erlangen-Nuremberg,International Information Systems,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-international-information-systems-w22630/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w22630&hec-offset=1029,Information Systems and Management,University graduate (Bachelor's) in Economics or IT or with a similar degree in a related field.,"Managing Enterprise-wide IT Architectures, Managing IT-enabled Business, Managing Global Projects & Information Technology, IT-enabled Innovation & Value Creation, IT-enabled Processes & Services, Foundations in Data Base Systems, Basics in Software Engineering"
University of Stralsund,International Innovation Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stralsund-international-innovation-management-w65603/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w65603&hec-offset=1030,International Business Administration,"Graduates from the disciplines of Management, Economics, Industrial Engineering, Business Information Systems or a closely related degree course",
Leuphana University Lüneburg,International Joint Master of Research in Work and Organizational Psychology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/leuphana-university-lueneburg-international-joint-master-of-research-in-work-and-organizational-psychology-w63748/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w63748&hec-offset=1031,"Business, Occupational, and Organisational Psychology",International Bachelor graduates in Psychology (70 CP) and Research Methods (30 CP) who have studied in English or speak English very well.,"Human Resources and Performance, Intervention, Negotiations in an International Context, Negotiation in an Intercultural Context, Negotiations in International Context"
University of Göttingen,International Law,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-international-law-w71150/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w71150&hec-offset=1032,"['International Law', 'Jurisprudence, Legal', 'Commercial Law']",,
Heidelberg University,International Law,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/heidelberg-university-international-law-w7676/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w7676&hec-offset=1033,International Law,,
Leuphana University Lüneburg,"International Law of Global Security, Peace & Development",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/leuphana-university-lueneburg-international-law-of-global-security-peace-development-w64894/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w64894&hec-offset=1034,"['International Relations', 'Political Science', 'European Studies', 'Jurisprudence, Legal', 'Sustainability Sciences (Social)']","The International Economics, Sustainability and Governance programme is designed for students with a 2.1 Honours degree or non-UK equivalent in Law or students from other disciplines in particular Politics, International Relations, European Studies, provided that at least 50% of the credit points have been obtained in Law courses.","International Economics, Sustainability and Governance"
International School of Management,International Logistics & Supply Chain Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/international-school-of-management-international-logistics-supply-chain-management-w31581/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w31581&hec-offset=1035,"['Logistics, Transport, Transport Management', 'Economic Sciences, Economics', 'Business Management, Organization Management']",,"General Management in Logistics & SCM, Transportation Modes & Business Models, Operations Management, Finance & Risk Management in Logistics & SCM, Leadership Skills, Methodologies in Logistics & SCM, International Environment of Logistics & SCM, Project Work in Logistics & SCM, Advanced Transport Management"
"Wismar University of Applied Sciences: Technology, Business and Design",International Logistics and Trade,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/wismar-university-of-applied-sciences-technology-business-and-design-international-logistics-and-trade-w64497/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w64497&hec-offset=1036,"['International Business Administration', 'Logistics, Transport, Transport Management', 'Economic Sciences, Economics']",,
University of Europe for Applied Sciences,International Logistics and Transportation Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-europe-for-applied-sciences-international-logistics-and-transportation-management-w67786/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w67786&hec-offset=1037,"['Logistics, Transport, Transport Management', 'Economic Sciences, Economics']",,
University of Applied Sciences and Arts Ostwestfalen-Lippe,International Logistics Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-and-arts-ostwestfalen-lippe-international-logistics-management-w63891/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w63891&hec-offset=1038,"Logistics, Transport, Transport Management",,
"Furtwangen University - computer science, technology, economics, media, health",International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/furtwangen-university-computer-science-technology-economics-media-health-international-management-w36774/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=52&hec-id=w36774&hec-offset=1039,International Business Administration,The degree course is aimed at business graduates who wish to further develop their analytical and problem-solving skills. Particular attention is paid to the future challenges for companies and the goals of sustainable innovation management.,"International Business Administration, Innovation Management, Company Management, Organisational Management, Sustainability Sciences (Economic)"
CBS International Business School - University of Applied Sciences,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/cbs-international-business-school-university-of-applied-sciences-international-management-w40737/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w40737&hec-offset=1040,"['Business Administration', 'International Business Administration', 'Business Management, Organization Management']",,
Ostbayerische Technische Hochschule Regensburg,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ostbayerische-technische-hochschule-regensburg-international-management-w41974/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w41974&hec-offset=1041,"['Business Administration', 'International Business Administration']","The Master's degree programme in International Management is aimed at prospective students who already have a first degree in a relevant degree programme in business administration, but also explicitly at foreign applicants.","Management and Finance, Management and Logistics, Management and Human Resources, Management and Marketing"
Steinbeis University,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/steinbeis-university-international-management-w49172/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w49172&hec-offset=1042,International Business Administration,Specialists and managers,International Management
Aschaffenburg University of Applied Sciences,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/aschaffenburg-university-of-applied-sciences-international-management-w50448/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w50448&hec-offset=1043,International Business Administration,,
RhineMain University,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhinemain-university-international-management-w53694/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w53694&hec-offset=1044,International Business Administration,"Successful completion of a bachelor's degree in International Management (B.A.) at the RheinMain University of Applied Sciences, or a comparable economics degree course at another university, with the specific skills indicated in Art. 1 of the admissions regulations.",
"Wismar University of Applied Sciences: Technology, Business and Design",International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/wismar-university-of-applied-sciences-technology-business-and-design-international-management-w58871/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w58871&hec-offset=1045,International Business Administration,Prospective students with Bachelor's or Diploma degrees as per the admissions criteria,"International Management, Management, Cross-Cultural, Innovation Management, Controlling, Business Simulation"
"Business Economics and Environment University, Nürtingen-Geislingen",International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/business-economics-and-environment-university-nuertingen-geislingen-international-management-w6254/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w6254&hec-offset=1046,"Economic Sciences, Economics",Graduates of all disciplines,
Hochschule für Technik und Wirtschaft Dresden - University of Applied Sciences,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-fuer-technik-und-wirtschaft-dresden-university-of-applied-sciences-international-management-w62768/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w62768&hec-offset=1047,International Business Administration,,
Hochschule Niederrhein,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-niederrhein-international-management-w63570/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w63570&hec-offset=1048,"Economic Sciences, Economics",,
Fulda University of Applied Sciences,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fulda-university-of-applied-sciences-international-management-w6414/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w6414&hec-offset=1049,International Business Administration,"This degree course is aimed in particular at graduates of a
Bachelor's degree programme in Economics or related fields such as
Industrial Engineering or Business Informatics,
- who want to establish, expand and deepen their knowledge of international company management, international marketing
and project management, international business law as well as social and
leadership skills in a global
environment,
- who would like to work in an intercultural business environment,
- who would like to deepen their understanding of international economic
contexts,
- who enjoy foreign languages, especially English,
- who are interested in the specifics of communication in an
International Environment
- who are aiming for a management position after successful completion of the academic degree or
who want to do a doctorate.","Business Administration, International Management, Business, Business Administration, International Management"
"Saarland University of Applied Sciences, University of Technology and Economics",International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-of-applied-sciences-university-of-technology-and-economics-international-management-w15248/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w15248&hec-offset=1050,International Business Administration,Prospective students with a first professionally qualifying degree in an Economics-oriented course as well as a good command of English,
International School of Management,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/international-school-of-management-international-management-w17320/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w17320&hec-offset=1051,"['International Business Administration', 'Economic Sciences, Economics', 'Business Management, Organization Management']",,"International Strategic Management, Marketing in a Globalised World, International Business Environment, Innovation Competence, Leadership Skills, Consulting Project, International Operations Management, International Controlling, Organisational Development"
SRH University of Applied Sciences Heidelberg,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-international-management-w18942/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w18942&hec-offset=1052,"['Business Administration', 'International Business Administration', 'Economic Sciences, Economics', 'International Law', 'Commercial Law', 'Business Management, Organization Management']",,"Strategic Management, Project Management, Foreign Trade Management, Innovation Management, Management, international, Contract Management, Risk Management, Contract Management"
accadis Graduate School Bad Homburg,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/accadis-graduate-school-bad-homburg-international-management-w22261/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w22261&hec-offset=1053,"['Business Administration', 'International Business Administration', 'Sport, Event, Culture Management']","With the Master's degree programme in International Management, you will develop into an innovative and future-oriented manager within two years.","Operations Management, Shareholder Value Management, Contemporary Economics"
University of Applied Sciences Fresenius,International Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-fresenius-international-management-w66594/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w66594&hec-offset=1054,"Business Management, Organization Management",,
South Westphalia University of Applied Sciences,International Management & Information Systems,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/south-westphalia-university-of-applied-sciences-international-management-information-systems-w44254/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w44254&hec-offset=1055,"['Information Systems and Management', 'Business Administration', 'International Business Administration', 'Business Management, Organization Management']","The programme is designed for business, business informatics and economics graduates who are seeking first-hand experience in business, management and IT throughout the study programme in a blended learning environment. In the second semester, students have the advantage of choosing their desired career path in either business management or IT, or a combination of both, by selecting external options such as an internship, study abroad or elective modules. Therefore, a total of 90 ECTS are spread over three semesters, resulting in a rational workload distribution in the respective semesters.","Business Intelligence, Information Management, E-Business, ERP, Business Marketing Management, Corporate Entrepreneurship & Innovation, Journal Club, Management Accounting & Finance, Virtual/Intercultural Communication, Management Communication"
South Westphalia University of Applied Sciences,International Management & Information Systems-online (career-integrated continuing combined degree course),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/south-westphalia-university-of-applied-sciences-international-management-information-systems-online-career-integrated-continuing-combined-degree-course-w63892/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w63892&hec-offset=1056,"['Information Systems and Management', 'Business Administration', 'International Business Administration', 'Business Management, Organization Management']","The aim of the part-time IMIS Online (MA) is a modern, management and IT-oriented qualification of future management staff. The course is aimed at aspiring employees who want to further develop their management skills and add knowledge and skills related to modern information and communication systems.","Business Informatics, Information Systems, Enterprise Resource Planning, Business Intelligence, E-Business, Management Accounting & Finance, International Management, International Economics, Process Management, Innovation Management"
University of Cologne,International Management (CEMS MIM),https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-cologne-international-management-cems-mim-w51104/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w51104&hec-offset=1057,"['International Business Administration', 'Marketing, Distribution', 'Economic Sciences, Economics']",Master's students of the Economics and Social Sciences Faculty of the Universität zu Köln,
"Reutlingen University of Applied Sciences for Engineering, Business, Computer Science and Design",International Management (MBA) Full-Time,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/reutlingen-university-of-applied-sciences-for-engineering-business-computer-science-and-design-international-management-mba-full-time-w234/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w234&hec-offset=1058,International Business Administration,"Concentrated economic competence for future managers.
The MBA degree programme in International Management Full-Time particularly prepares graduates of technical or natural sciences disciplines such as engineering, natural sciences and the humanities for tasks in the management of global companies.","Sustainability Dynamics, Organisational and Business Transformation, Lean Enterprise Management, Negotiating across Borders, International Sales Management, Data-Driven Marketing, Leveraging Diversity, Equity and Inclusion (DEI) as Organisational Drivers, Data Analytics, Business Models for a Circular Economy, Strategy Creation and Execution"
SRH University of Applied Sciences Heidelberg,International Management - Focus on Creative Leadership,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-international-management-focus-on-creative-leadership-w64007/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=53&hec-id=w64007&hec-offset=1059,"['Fine Arts', 'International Business Administration', 'Sport, Event, Culture Management', 'Economic Sciences, Economics', 'Music Theory']",,"Economics, Management, Creativity, Art, Music, Film, international"
SRH University of Applied Sciences Heidelberg,International Management - Focus on Entrepreneurship and Intrapreneurship,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-international-management-focus-on-entrepreneurship-and-intrapreneurship-w35499/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w35499&hec-offset=1060,"['Economic Sciences, Economics', 'Business Management, Organization Management']",Persons who are interested in starting a business.,"Company Formation, Innovation Management, Start-up, Founding, Entrepreneurship, Startup, Business Model Canvas)., Business Plan, Incubator"
Hochschule Kaiserslautern (University of Applied Sciences),International Management and Finance,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-kaiserslautern-university-of-applied-sciences-international-management-and-finance-w63159/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w63159&hec-offset=1061,"['Business Administration', 'Financial Management, Insurance']","The Double Degree combines theory, practice and the targeted acquisition of intercultural and foreign language skills. The three-semester course is designed such that students spend a semester at the host university. In addition to the courses, an internship in the host country is integrated, which allows for an optimal connection and further development of theoretical and practical knowledge.","Business and Economics, International Finance, Asset Management, Commercial Bank Management, International Marketing and Corporate Communication, Company Internship, Spanish Language and Culture"
SRH University of Applied Sciences Heidelberg,International Management and Leadership,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-international-management-and-leadership-w60639/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w60639&hec-offset=1062,Business Administration,,
Rhine-Waal University of Applied Sciences,International Management and Psychology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhine-waal-university-of-applied-sciences-international-management-and-psychology-w44337/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w44337&hec-offset=1063,"['Business, Occupational, and Organisational Psychology', 'Marketing, Distribution', 'Human Resource Management']",,"Human Resource Management, Training, Organisational Development, Stress Management, Business Culture, Change Management, Leadership Styles, E-Learning, Market Research, Consumer Behaviour"
HTWG Konstanz University of Applied Sciences,International Management Asia-Europe,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/htwg-konstanz-university-of-applied-sciences-international-management-asia-europe-w18879/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w18879&hec-offset=1064,"['Intercultural Studies', 'Asian Studies', 'International Business Administration', 'Economics', 'Economic Sciences, Economics', 'Business Management, Organization Management']","Requirements for the Master's degree programme are the successful completion of a degree in Business Languages Asia and Management, in a business or Asian studies programme or a related field of study with a final grade of at least 2.5 as well as a good command of English",
Weihenstephan-Triesdorf University of Applied Sciences,International Management of Forest Industries,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/weihenstephan-triesdorf-university-of-applied-sciences-international-management-of-forest-industries-w70161/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w70161&hec-offset=1065,"['Forestry', 'Wood Management', 'Wood Technology']",,
University of Magdeburg,"International Management, Marketing, Entrepreneurship",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-international-management-marketing-entrepreneurship-w6613/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w6613&hec-offset=1066,"['Business Administration', 'International Business Administration', 'Marketing, Distribution']",,
Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth,International Maritime Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/jade-university-of-applied-sciences-wilhelmshavenoldenburgelsfleth-international-maritime-management-w58483/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w58483&hec-offset=1067,"['Nautics', 'Logistics, Transport, Transport Management', 'Public Law']","Nautical scientists, logisticians, management scientists","Ship Navigation, Harbour, Logistics, Cargo, Maritime, Inland navigation, Industrial Engineers, Transport, Transport, Nautical Science"
Georg Simon Ohm University of Applied Sciences Nuremberg,International Marketing,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/georg-simon-ohm-university-of-applied-sciences-nuremberg-international-marketing-w26374/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w26374&hec-offset=1068,"['Business Administration', 'International Business Administration', 'Marketing, Distribution']",Graduates who have completed a first academic degree with marketing-oriented economics content.,International Marketing
MU Media University of Applied Sciences,International Marketing and Media Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mu-media-university-of-applied-sciences-international-marketing-and-media-management-w61909/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w61909&hec-offset=1069,"['Marketing, Distribution', 'Media Management']",,"Media Management, Marketing, International Marketing, Innovation, Entrepreneurship"
Berlin School of Economics and Law,International Marketing Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-school-of-economics-and-law-international-marketing-management-w31787/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w31787&hec-offset=1070,International Business Administration,,"Strategic Behaviour in International Markets, International Marketing, Current Issues in Marketing (e.g. Empirical Methods in Marketing), Intercultural Consumer Behaviour"
Free University Stuttgart - Department of Waldorf Pedagogy. State recognised scientific university.,International Master for Class and Subject Teachers,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/free-university-stuttgart-department-of-waldorf-pedagogy-state-recognised-scientific-university-international-master-for-class-and-subject-teachers-w54985/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w54985&hec-offset=1071,"Pedagogy, Educational Science",,"Educational Science, Epistemology, Anthropology, Biography, Didactics and Diagnostics, Artistic courses, Speech Formation/Acting, Eurythmy, Music, Waldorf Pedagogy"
Kiel University,International Master in Applied Ecology,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/kiel-university-international-master-in-applied-ecology-w22717/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w22717&hec-offset=1072,"['Ecology', 'Environmental Science']",,
University of Hildesheim,International Master in Software Engineering,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hildesheim-international-master-in-software-engineering-w71290/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w71290&hec-offset=1073,"['Applied Computer Science', 'Computer Science', 'Practical Computer Science', 'Software Engineering']",,"Software Engineering, Software Architecture and Design, Requirements Engineering, Model-Based Software Engineering, Programming Languages and Tools"
Mainz University,International Master of Biomedicine,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mainz-university-international-master-of-biomedicine-w60640/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w60640&hec-offset=1074,"['Human Biology, Biomedicine', 'Human Medicine', 'Neuroscience']","The International Master of Biomedicine is a scientific course of study leading to an additional professionally qualifying academic degree based on a first professionally qualifying degree. It aims to convey in-depth scientific knowledge in the subjects of Clinical Medicine, Bioinformatics, Neurosciences and Immunology.",
University of Applied Sciences Bremen,International Master of Business Administration,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-bremen-international-master-of-business-administration-w7484/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w7484&hec-offset=1075,"['Business Administration', 'International Business Administration', 'Economic Sciences, Economics']","Graduates with a Bachelor degree cognate to the Business Management, who want to prepare for international leadership roles in the private and public sectors. The programme provides a unique learning experience for mobile students interested in studying in multinational teams and in two different countries awarded with a dual Master degree.","International and Sustainable Management (ESSCA School of Management, FR), International Finance & Investments (University of North Carolina, Wilmington, United States), International Logistics & Supply Chain Management (International Graduate Center, DE), International Marketing (University of Valencia, ES)"
"Business Economics and Environment University, Nürtingen-Geislingen",International Master of Landscape Architecture,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/business-economics-and-environment-university-nuertingen-geislingen-international-master-of-landscape-architecture-w6256/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w6256&hec-offset=1076,Landscape Architecture,,"Planning and Design in Europe, Planning and Project Management, Information Technologies in Planning and Design, Planning and Design Methods"
Weihenstephan-Triesdorf University of Applied Sciences,International Master of Landscape Architecture,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/weihenstephan-triesdorf-university-of-applied-sciences-international-master-of-landscape-architecture-w7673/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w7673&hec-offset=1077,Landscape Architecture,"Graduates of a planning course (Bachelor's or Diploma), particularly landscape architecture and urban/environmental planning.",
University of Regensburg,"International Master's degree programme in Ecology, Evolution & Conservation (EEC)",https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-international-masters-degree-programme-in-ecology-evolution-conservation-eec-w67801/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w67801&hec-offset=1078,"['Biology', 'Ecology']","Students with a first academic degree in Biology, Environmental Sciences or comparable subjects","Ecology, Biodiversity, Evolutionary and Systematic Botany, Theoretical Ecology, Molecular Ecology and Evolutionary Biology, Animal Ecology and Evolution, Conservation & Conservation Genetics, Microbiology, Bioinformatics"
Mainz University,International Master's in Sociolinguistics and Multilingualism,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mainz-university-international-masters-in-sociolinguistics-and-multilingualism-w41392/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=54&hec-id=w41392&hec-offset=1079,"['Nordic Studies', 'Scandinavian Studies']","The international Master's programme is aimed at people with a first degree (usually a Bachelor's degree) in a linguistic or philological subject area. In addition to an academic career, a wide range of employment opportunities in the private and public sector are open to graduates of the Master's programme e.g. in administration as a consultant for issues relating to multi-lingualism, in the communications sector or - with additional qualifications - in fields such as political journalism and language-related tasks in the EU.","Nordic and Baltic Sociolinguistics, Multilingualism, Linguistic competency in international and lesser used languages, Languages of Northern Europe and the Baltic States (Scandinavian, Finnish, Finno-Ugrian, Baltic)"
Trier University - Trier University of Applied Sciences,International Material Flow Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/trier-university-trier-university-of-applied-sciences-international-material-flow-management-w21818/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=55&hec-id=w21818&hec-offset=1080,"Economic Sciences, Economics","Graduates and students who have already gained a first professionally qualifying degree or Vordiplom (with at least 180 ETCS points), and who have a very good command of English","Basic technical knowledge of modern environmental technologies, Basics of Planning Sustainable Supply and Disposal Systems for Regions and for Companies, Innovative financial concepts (fundraising, contracting, Public-Private-Partnership etc.)"
Trier University - Trier University of Applied Sciences,International Material Flow Management,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/trier-university-trier-university-of-applied-sciences-international-material-flow-management-w7603/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=55&hec-id=w7603&hec-offset=1081,"Economic Sciences, Economics",International students,"Operative and regional material flow management as a tool to decrease operating costs and promote regional business,, Innovative environmental technologies (renewable energies, waste, water and sewage management, etc.) for the sustainable supply and waste disposal of regions, Teaching of the Principles of Ecosystems and Instruments of Environmental Policy, New Financing Concepts (e.g. International Emissions Trading)."
University of Würzburg,International Mathematics,https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-wuerzburg-international-mathematics-w56610/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=55&hec-id=w56610&hec-offset=1082,"['Applied Mathematics', 'Mathematics']",Mathematicians,
